model,file,correct-label,pred-label,certainty
whisper_specrnet,/Users/christiankilduff/Deepfake_Detection_Resources/yt-and-dailymotion-selections/collected/soundscape-dataset/eval/fake/Fireflies - Owl City (taylor's version).mp3,Fake,Real,0.9996592998504639
whisper_specrnet,/Users/christiankilduff/Deepfake_Detection_Resources/yt-and-dailymotion-selections/collected/soundscape-dataset/eval/fake/My all - Beyoncé cover.mp3,Fake,Real,0.9997989535331726
whisper_specrnet,/Users/christiankilduff/Deepfake_Detection_Resources/yt-and-dailymotion-selections/collected/soundscape-dataset/eval/fake/Dead By April - Carry Me Instrumental Cover.mp3,Fake,Fake,5.9903686633333564e-05
whisper_specrnet,/Users/christiankilduff/Deepfake_Detection_Resources/yt-and-dailymotion-selections/collected/soundscape-dataset/eval/fake/The Weeknd - Borderline (AI Cover).mp3,Fake,Fake,0.12557044625282288
whisper_specrnet,/Users/christiankilduff/Deepfake_Detection_Resources/yt-and-dailymotion-selections/collected/soundscape-dataset/eval/fake/GOKU - SINGING CUPID ( COVER AI ).mp3,Fake,Fake,0.016102489084005356
whisper_specrnet,/Users/christiankilduff/Deepfake_Detection_Resources/yt-and-dailymotion-selections/collected/soundscape-dataset/eval/fake/Nothing’s gonna change my love for you … [ Justin Bieber AI cover ] + ｜lyric + vietsub｜.mp3,Fake,Fake,0.02320854179561138
whisper_specrnet,/Users/christiankilduff/Deepfake_Detection_Resources/yt-and-dailymotion-selections/collected/soundscape-dataset/eval/fake/Dancing Queen - ABBA COVER SONG.mp3,Fake,Real,0.999496340751648
whisper_specrnet,/Users/christiankilduff/Deepfake_Detection_Resources/yt-and-dailymotion-selections/collected/soundscape-dataset/eval/fake/Call Out My Name - Ariana Grande (AI cover) TheWeeknd.mp3,Fake,Real,0.9902025461196899
whisper_specrnet,/Users/christiankilduff/Deepfake_Detection_Resources/yt-and-dailymotion-selections/collected/soundscape-dataset/eval/fake/The Arrival Of (AI) in 2024 ⧸ A Musician's Perspective.mp3,Fake,Real,0.9989132881164551
whisper_specrnet,/Users/christiankilduff/Deepfake_Detection_Resources/yt-and-dailymotion-selections/collected/soundscape-dataset/eval/fake/Belinda - Spiritual (AI cover Katy Perry).mp3,Fake,Fake,0.0602894201874733
whisper_specrnet,/Users/christiankilduff/Deepfake_Detection_Resources/yt-and-dailymotion-selections/collected/soundscape-dataset/eval/fake/JENNIE - SOLO (The Weeknd AI Cover).mp3,Fake,Fake,0.44713228940963745
whisper_specrnet,/Users/christiankilduff/Deepfake_Detection_Resources/yt-and-dailymotion-selections/collected/soundscape-dataset/eval/fake/I Found A Way - Drake Bell and Ariana Grande AI Cover.mp3,Fake,Fake,0.10390794277191162
whisper_specrnet,/Users/christiankilduff/Deepfake_Detection_Resources/yt-and-dailymotion-selections/collected/soundscape-dataset/eval/fake/There I was again tonight - COVER SONG BY AI.mp3,Fake,Fake,2.9222755983937532e-05
whisper_specrnet,/Users/christiankilduff/Deepfake_Detection_Resources/yt-and-dailymotion-selections/collected/soundscape-dataset/eval/fake/Walk around the world - COVER SONG BY AI.mp3,Fake,Real,0.9996371269226074
whisper_specrnet,/Users/christiankilduff/Deepfake_Detection_Resources/yt-and-dailymotion-selections/collected/soundscape-dataset/eval/fake/Style - Taylor Swift ft. Harry Styles (AI)(Lyrics Video).mp3,Fake,Fake,2.5311977879027836e-05
whisper_specrnet,/Users/christiankilduff/Deepfake_Detection_Resources/yt-and-dailymotion-selections/collected/soundscape-dataset/eval/fake/Wuthering heights⧸Dizzy ai cover.mp3,Fake,Fake,0.015089493244886398
whisper_specrnet,/Users/christiankilduff/Deepfake_Detection_Resources/yt-and-dailymotion-selections/collected/soundscape-dataset/eval/fake/If Only - Taylor Swift Ai Cover.mp3,Fake,Fake,0.09264152497053146
whisper_specrnet,/Users/christiankilduff/Deepfake_Detection_Resources/yt-and-dailymotion-selections/collected/soundscape-dataset/eval/fake/Please Don't Go by KC & The Sunshine Band (AI Cover).mp3,Fake,Fake,2.7754853363148868e-05
whisper_specrnet,/Users/christiankilduff/Deepfake_Detection_Resources/yt-and-dailymotion-selections/collected/soundscape-dataset/eval/fake/Ariana Grande Ai - Bad Habits by Ed Sheeran.mp3,Fake,Fake,0.02229819819331169
whisper_specrnet,/Users/christiankilduff/Deepfake_Detection_Resources/yt-and-dailymotion-selections/collected/soundscape-dataset/eval/fake/The Weeknd - Take On Me (Ai Cover).mp3,Fake,Fake,0.004616576246917248
whisper_specrnet,/Users/christiankilduff/Deepfake_Detection_Resources/yt-and-dailymotion-selections/collected/soundscape-dataset/eval/fake/La Carretera - Taylor Swift' IA ⧸⧸ letra español.mp3,Fake,Real,0.9994869232177734
whisper_specrnet,/Users/christiankilduff/Deepfake_Detection_Resources/yt-and-dailymotion-selections/collected/soundscape-dataset/eval/fake/Banger AI Cover #2.mp3,Fake,Real,0.9811379909515381
whisper_specrnet,/Users/christiankilduff/Deepfake_Detection_Resources/yt-and-dailymotion-selections/collected/soundscape-dataset/eval/fake/Taylor Swift & Post Malone - Fortnight (lyrics).mp3,Fake,Fake,1.172238398794434e-06
whisper_specrnet,/Users/christiankilduff/Deepfake_Detection_Resources/yt-and-dailymotion-selections/collected/soundscape-dataset/eval/fake/A.I. The Weeknd - Under Control  [A.I. Voice Conversion].mp3,Fake,Fake,0.3678303360939026
whisper_specrnet,/Users/christiankilduff/Deepfake_Detection_Resources/yt-and-dailymotion-selections/collected/soundscape-dataset/eval/fake/Drake & Ariana Grande - Teenage Fever (AI COVER).mp3,Fake,Real,0.9997081160545349
whisper_specrnet,/Users/christiankilduff/Deepfake_Detection_Resources/yt-and-dailymotion-selections/collected/soundscape-dataset/eval/fake/Banger AI Cover #3.mp3,Fake,Fake,1.1387040103727486e-05
whisper_specrnet,/Users/christiankilduff/Deepfake_Detection_Resources/yt-and-dailymotion-selections/collected/soundscape-dataset/eval/fake/The Bublic Gamer Gang Sings “Backpack Is a Little Bear” (ft. Starfall) (Ai Cover).mp3,Fake,Fake,0.05122741311788559
whisper_specrnet,/Users/christiankilduff/Deepfake_Detection_Resources/yt-and-dailymotion-selections/collected/soundscape-dataset/eval/fake/Before You Go by Lewis Capaldi (AI Cover).mp3,Fake,Real,0.9952552318572998
whisper_specrnet,/Users/christiankilduff/Deepfake_Detection_Resources/yt-and-dailymotion-selections/collected/soundscape-dataset/eval/fake/Taylor Swift - The Hills (A.I. Cover).mp3,Fake,Fake,0.3120894432067871
whisper_specrnet,/Users/christiankilduff/Deepfake_Detection_Resources/yt-and-dailymotion-selections/collected/soundscape-dataset/eval/fake/Harpy Hare - COVER SONG BY AI.mp3,Fake,Fake,0.07836245745420456
whisper_specrnet,/Users/christiankilduff/Deepfake_Detection_Resources/yt-and-dailymotion-selections/collected/soundscape-dataset/eval/bonafide/Coldplay - Fix You (Official Video).mp3,Real,Real,0.510581910610199
whisper_specrnet,"/Users/christiankilduff/Deepfake_Detection_Resources/yt-and-dailymotion-selections/collected/soundscape-dataset/eval/bonafide/Drake - Buried Alive Interlude, Pt. 2 (Lyrics).mp3",Real,Fake,0.0008621672168374062
whisper_specrnet,/Users/christiankilduff/Deepfake_Detection_Resources/yt-and-dailymotion-selections/collected/soundscape-dataset/eval/bonafide/Drake & Future - Big Rings (Lyrics).mp3,Real,Real,0.9857516884803772
whisper_specrnet,/Users/christiankilduff/Deepfake_Detection_Resources/yt-and-dailymotion-selections/collected/soundscape-dataset/eval/bonafide/Post Malone - Euthanasia (Lyrics).mp3,Real,Real,0.955659031867981
whisper_specrnet,"/Users/christiankilduff/Deepfake_Detection_Resources/yt-and-dailymotion-selections/collected/soundscape-dataset/eval/bonafide/Yesterday (With Spoken Word Intro ⧸ Live From Studio 50, New York City ⧸ 1965).mp3",Real,Fake,0.026303978636860847
whisper_specrnet,/Users/christiankilduff/Deepfake_Detection_Resources/yt-and-dailymotion-selections/collected/soundscape-dataset/eval/bonafide/Hozier - In A Week (Lyrics).mp3,Real,Real,0.9306883811950684
whisper_specrnet,/Users/christiankilduff/Deepfake_Detection_Resources/yt-and-dailymotion-selections/collected/soundscape-dataset/eval/bonafide/Beyoncé - Dangerously In Love (Live in Toronto -  Renaissance World Tour 20230708).mp3,Real,Fake,0.01042979396879673
whisper_specrnet,/Users/christiankilduff/Deepfake_Detection_Resources/yt-and-dailymotion-selections/collected/soundscape-dataset/eval/bonafide/Justin Bieber - Company.mp3,Real,Real,0.9949507713317871
whisper_specrnet,/Users/christiankilduff/Deepfake_Detection_Resources/yt-and-dailymotion-selections/collected/soundscape-dataset/eval/bonafide/Dua Lipa - Training Season (Official Music Video).mp3,Real,Real,0.9584875106811523
whisper_specrnet,/Users/christiankilduff/Deepfake_Detection_Resources/yt-and-dailymotion-selections/collected/soundscape-dataset/eval/bonafide/traitor.mp3,Real,Real,0.9998800754547119
whisper_specrnet,/Users/christiankilduff/Deepfake_Detection_Resources/yt-and-dailymotion-selections/collected/soundscape-dataset/eval/bonafide/Ed Sheeran - Bad Habits [Official Video].mp3,Real,Real,0.9999452829360962
